city,lat,lon,category,name,source
Cotonou,6.3715125,2.4085582,school,Collège Pacôme YAMADJAKO,OSM
Cotonou,6.3729663,2.4085003,restaurant,Restaurant Chez Adé,OSM
Cotonou,6.3703433,2.4093867,hotel,Hôtel star heber,OSM
Cotonou,6.3779359,2.4176819,hotel,Hôtel SOSSA,OSM
Cotonou,6.3779453,2.4160568,school,ISEG,OSM
Cotonou,6.3781316,2.4141154,school,Complexe scolaire sikè-nord,OSM
Cotonou,6.3576837,2.3693605,school,CS bilingue Jules William,OSM
Cotonou,6.3649057,2.4229617,hotel,Benin Royal Hôtel,OSM
Cotonou,6.3577954,2.3717257,hotel,Hotel Sun Beach,OSM
Cotonou,6.3543693,2.4043167,restaurant,Pesto,OSM
Cotonou,6.3570326,2.3955385,school,school_unnamed,OSM
Cotonou,6.3659368,2.4166272,pharmacy,Pharmacie Amen,OSM
Cotonou,6.3475463,2.3908632,hotel,Hôtel Maison Rouge,OSM
Cotonou,6.3861653,2.4045443,pharmacy,Pharmacie Fifadji,OSM
Cotonou,6.3564829,2.4275943,school,Université Sunu,OSM
Cotonou,6.3518912,2.3946647,school,École Montaigne,OSM
Cotonou,6.3608786,2.3792548,pharmacy,Don de Dieu,OSM
Cotonou,6.3656311,2.4135524,hotel,Hôtel JC,OSM
Cotonou,6.380081,2.365182,restaurant,CCF,OSM
Cotonou,6.357372,2.4403864,atm,atm_unnamed,OSM
Cotonou,6.3605303,2.4444476,hotel,Serena Hotel,OSM
Cotonou,6.3607742,2.444667,pharmacy,pharmacy_unnamed,OSM
Cotonou,6.3713229,2.4279669,restaurant,Milles et une Bouillie,OSM
Cotonou,6.35651,2.3997536,atm,Ecobank ATM,OSM
Cotonou,6.377109,2.4015002,restaurant,Chez Maman Mélissa,OSM
Cotonou,6.3620294,2.3805632,hotel,Le Soleil,OSM
Cotonou,6.3646441,2.3849523,school,video leader,OSM
Cotonou,6.3806769,2.4313288,pharmacy,Pharmacie Femi,OSM
Cotonou,6.354058,2.3897925,hotel,Hôtel de l'Entente,OSM
Cotonou,6.3566757,2.3987385,atm,Société Générale,OSM
Cotonou,6.3510616,2.4251903,atm,Bank of Africa,OSM
Cotonou,6.3558175,2.3911887,music_school,Etrilabs formation,OSM
Cotonou,6.36036,2.3940603,school,EtriLabs,OSM
Cotonou,6.3681646,2.4231629,school,Groupe Scolaire La Source,OSM
Cotonou,6.3756403,2.357557,pharmacy,Pharmacie Safari,OSM
Cotonou,6.3686477,2.4032719,pharmacy,Phamarcie Ste Foi,OSM
Cotonou,6.3880793,2.4260415,school,La Gloire de Dieu,OSM
Cotonou,6.375822,2.3565754,restaurant,Chez Fernanb,OSM
Cotonou,6.3743102,2.3576858,driving_school,Chritobal,OSM
Cotonou,6.3717787,2.3569166,pharmacy,Luli Luli,OSM
Cotonou,6.3819842,2.463667,pharmacy,Pharmacie HOUNCHEDE,OSM
Cotonou,6.367786,2.4261693,hotel,Hôtel Petit Babo,OSM
Cotonou,6.3507167,2.3621417,hotel,Residences Céline Hôtel,OSM
Cotonou,6.36749,2.4947933,restaurant,Times,OSM
Cotonou,6.3910087,2.3912541,restaurant,La Bouffe du Roi,OSM
Cotonou,6.3518259,2.4358052,hotel,Azalaï Hôtel de la Plage,OSM
Cotonou,6.3544889,2.4168393,restaurant,Chez Clarisse,OSM
Cotonou,6.3541984,2.4173194,hotel,Le Zénith Hôtel,OSM
Cotonou,6.3492081,2.4015695,hotel,ibis Cotonou,OSM
Cotonou,6.3593299,2.4460043,hotel,Hôtel du Lac - Villa,OSM
Cotonou,6.3826817,2.4456633,restaurant,Chez Maman Tibo,OSM
Cotonou,6.3553686,2.4567854,hotel,Hôtel Tahiti,OSM
